Catch Date,Year,Station,Station Transect,Fish ID,Rings,Edgecode,Age,Fractional Age,Weight (kg),Fork Length (cm),Sex,Notes,Total Aged,USED FOR INCREMENT ANALYSIS?,TOTAL # INC ANAYLSIS PER YEAR
7/27/11,2011,SF-01-40,SF-01-40-13,13,6,4,6,6.7,4.53,63,F,,,,
7/27/11,2011,SF-01-40,SF-01-40-14,14,7,4,7,7.7,5.872,71,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-15,15,5,2,5,5.7,5.044,68,F,,,,
7/27/11,2011,SF-01-40,SF-01-40-16,16,6,2,6,6.7,5.782,64,F,,,,
7/27/11,2011,SF-01-40,SF-01-40-17,17,7,2,7,7.7,5.912,70,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-18,18,9,2,9,9.7,7.8,77,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-23,23,6,2,6,6.7,6.4,70,F,,,,
7/27/11,2011,SF-01-40,SF-01-40-24,24,8,2,8,8.7,7.4,76,F,,,,
7/27/11,2011,SF-01-40,SF-01-40-25,25,7,2,7,7.7,4.601,64,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-26,26,5,2,5,5.7,6.2,67,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-27,27,6,4,6,6.7,5.442,71,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-38,38,8,2,8,8.7,8.8,75,F,,,,
7/27/11,2011,SF-01-40,SF-01-40-41,41,8,2,8,8.7,6.8,73,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-42,42,8,2,8,8.7,8.2,73,M,,,,
7/27/11,2011,SF-01-40,SF-01-40-43,43,5,6,6,6.7,5.298,65,F,,15,,
7/26/11,2011,SF-01-80,SF-01-80-18,18,6,2,6,6.7,2.068,51,U,,1,,
7/11/11,2011,BR-03-20,BR-03-20-47,47,5,4,5,5.7,2.156,53,F,,1,Y,
7/8/11,2011,BR-03-40,BR-03-40-2,2,6,4,6,6.6,4.25,63,M,,,,
7/8/11,2011,BR-03-40,BR-03-40-8,8,6,4,6,6.6,5.896,70,M,,,Y,
7/8/11,2011,BR-03-40,BR-03-40-17,17,6,4,6,6.6,8.2,69,M,,,,
7/8/11,2011,BR-03-40,BR-03-40-28,28,5,2,5,5.6,1.39,44,M,,,,
7/8/11,2011,BR-03-40,BR-03-40-46,46,4,4,4,4.6,3.3,57,F,,,,
7/8/11,2011,BR-03-40,BR-03-40-57,57,4,6,5,5.6,1.95,48,M,,,,
7/8/11,2011,BR-03-40,BR-03-40-74,74,6,2,6,6.6,3.8,61,F,,,,
7/17/11,2011,BR-34-40,BR-34-40-3,3,4,2,4,4.6,2.75,53,M,,,,
7/17/11,2011,BR-34-40,BR-34-40-4,4,7,4,7,7.6,5.78,69,M,,,Y,
7/17/11,2011,BR-34-40,BR-34-40-20,20,7,2,7,7.6,5.062,63,F,,,,
7/17/11,2011,BR-34-40,BR-34-40-23,23,7,2,7,7.6,5.492,65,M,,,,
7/17/11,2011,BR-34-40,BR-34-40-31,31,5,2,5,5.6,3.266,55,M,,,,
7/17/11,2011,BR-34-40,BR-34-40-38,38,5,2,5,5.6,2.446,54,M,,,,
7/17/11,2011,BR-34-40,BR-34-40-39,39,5,2,5,5.6,2.28,52,F,,,,
7/17/11,2011,BR-34-40,BR-34-40-40,40,6,2,6,6.6,4.216,59,M,,,,
7/17/11,2011,BR-34-40,BR-34-40-53,53,5,2,5,5.6,2.272,51,M,,,,
7/17/11,2011,BR-34-40,BR-34-40-54,54,5,2,5,5.6,3.872,58,F,,17,,
7/16/11,2011,BR-34-50,BR-34-50-7,7,7,2,7,7.6,3.75,61,F,,,,
7/16/11,2011,BR-34-50,BR-34-50-8,8,7,2,7,7.6,4.935,63,M,,,,
7/16/11,2011,BR-34-50,BR-34-50-9,9,7,6,8,8.6,9.972,74,M,,,,
7/16/11,2011,BR-34-50,BR-34-50-10,10,6,2,6,6.6,5.85,68,F,,4,,
7/10/11,2011,BR-04-40,BR-04-40-2,2,5,2,5,5.6,2.32,50,M,,,,
7/10/11,2011,BR-04-40,BR-04-40-5,5,5,2,5,5.6,2.816,54,M,,,,
7/10/11,2011,BR-04-40,BR-04-40-3,3,4,6,5,5.6,2.39,49,M,,,,
