Unique.ID,Catch Year,Age at Catch,Fish ID,Station-Transect,Converted Lat,Converted Long,Weight(Kg),Increment Number,Increment Width,R Detrended,Year of Increment Formation,Radius at age Ri (mm),Growth Rate,Otolith radius at capture: Rcpt,Fish length at capture: Lcpt (cm),Average fish length at hatching: L0p (cm),Biological Intercept,Back Calculated Weight (W=aL^b),Growth Rate (Biological Intercept),Length Increments,a,b,Pjan U,Pfeb U,Pmar U,Papr U,Pmay U,June U,July U,August U,September U,October U,November U,December U,January U,February U,March U,April U,May U,Pjan V,Pfeb V,Pmar V,Papr V,Pmay V,June V,July V,August V,September V,October V,November V,December V,January V,February V,March V,April V,May V,PJanuary Discharge,PFebruary Discharge,PMarch Discharge,PApril Discharge,PMay Discharge,June Discharge,July Discharge,August Discharge,September Discharge,October Discharge,November Discharge,December Discharge,January Discharge,February Discharge,March Discharge,April Discharge,May Discharge,Avg Discharge,Pjan MSLA,Pfeb MSLA,Pmar MSLA,Papr MSLA,Pmay MSLA,June MSLA,July MSLA,August MSLA,September MSLA,October MSLA,November MSLA,December MSLA,,,,,,June WSC,July WSC,August WSC,September WSC,October WSC,November WSC,December WSC
13,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,1,1.01,NA,2008,1.010,,1.70,45,0.2,26.86855457,0.336,,26.86855457,,,-1.420001542,0.499998415,-0.850001555,-1.020001551,0.589998413,1.1599984,2.159998378,2.279998375,-3.3100015,-1.820001533,0.25999842,-0.030001573,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,-1.33000154,0.90999841,1.0799984,1.1399984,2.21999838,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,0.10999842,0.83999841,1.77999839,1.84999838,1.49999839,480064.5161,609965.5172,886870.9677,1363266.667,1097096.774,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,589354.8387,589354.8387,571645.1613,766666.6667,1040258.065,467.7794163,0.0145,-0.0621,-0.0433,-0.0099,0.02,0.0227,0.0655,-0.0154,0.2055,0.2155,0.0709,0.0149,-0.1032,-0.0727,-0.0132,-0.0055,0.0646,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
14,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,2,0.303,1,2009,1.313,0.3,1.70,45,0.2,34.87705015,0.731,0.298062017,8.008495575,,,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,3.049998358,3.299998352,0.759998409,-1.240001546,0.019998426,-0.590001561,-0.950001553,1.1599984,0.789998408,1.839998385,-1.150001548,-0.64000156,0.1099984,0.8399984,1.7799984,1.8499984,1.4999984,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,-1.7100015,-2.6700015,-0.9400016,1.4399984,1.9199984,589354.8387,477714.2857,571645.1613,766666.6667,1040258.065,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,712419.3548,712419.3548,688967.7419,778366.6667,773258.0645,615.2190476,-0.1032,-0.0727,-0.0132,-0.0055,0.0646,0.023,0.0319,0.0944,0.2199,0.164,0.187,0.0685,-0.006,-0.0578,-0.1019,-0.0137,0.0547,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
15,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,3,0.253,1,2010,1.566,0.1926885,1.70,45,0.2,41.5640118,1.233,0.191729565,6.686961652,,,1.1599984,0.78999841,1.83999838,-1.15000155,-0.64000156,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,-1.71000154,-2.67000151,-0.94000155,1.43999839,1.91999838,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,712419.3548,946964.2857,688967.7419,778366.6667,773258.0645,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,298677.4194,298677.4194,812612.9032,844533.3333,1399838.71,427.2047619,-0.006,-0.0578,-0.1019,-0.0137,0.0547,0.0628,0.1142,0.0981,0.1983,0.164,0.1037,-0.0622,-0.1349,-0.1323,-0.0157,-0.0319,0.0083,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
16,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,3.5,0.13,NA,2011,1.696,0.083014049,1.70,45,0.2,45,1.562,0.082667386,3.435988201,,,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,1.2599984,1.40999839,1.89999838,-0.48000156,-1.76000153,-1.32000154,-1.34000154,1.40999839,-0.99000155,-1.13000155,0.21999842,0.07999842,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1.48999839,-0.40000156,2.36999837,0.02999843,0.08999842,298677.4194,308178.5714,812612.9032,844533.3333,1399838.71,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,626193.5484,626193.5484,618290.3226,567433.3333,400322.5806,523.8666667,-0.1349,-0.1323,-0.0157,-0.0319,0.0083,0.0214,0.0389,0.0541,0.0987,0.0964,0.102,0.0756,0.0163,0.0201,0.0305,0.0421,0.0676,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
17,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,1,1,NA,2008,1.000,,1.67,36,0.2,21.62852007,0.176,,21.62852007,,,-1.420001542,0.499998415,-0.850001555,-1.020001551,0.589998413,1.1599984,2.159998378,2.279998375,-3.3100015,-1.820001533,0.25999842,-0.030001573,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,-1.33000154,0.90999841,1.0799984,1.1399984,2.21999838,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,0.10999842,0.83999841,1.77999839,1.84999838,1.49999839,480064.5161,609965.5172,886870.9677,1363266.667,1097096.774,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,589354.8387,589354.8387,571645.1613,766666.6667,1040258.065,467.7794163,0.0056,-0.051,-0.0372,-0.0216,0.017,0.035,0.0987,0.0208,0.1773,0.2118,0.0664,0.0278,-0.077,-0.0703,-0.0112,0.005,0.0568,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
18,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,2,0.33,1,2009,1.330,0.33,1.67,36,0.2,28.70701019,0.409,0.327275749,7.078490114,,,1.459998393,0.009998426,-1.020001551,-0.020001573,-0.690001559,3.049998358,3.299998352,0.759998409,-1.240001546,0.019998426,-0.590001561,-0.950001553,1.1599984,0.789998408,1.839998385,-1.150001548,-0.64000156,0.1099984,0.8399984,1.7799984,1.8499984,1.4999984,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,-1.7100015,-2.6700015,-0.9400016,1.4399984,1.9199984,589354.8387,477714.2857,571645.1613,766666.6667,1040258.065,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,712419.3548,712419.3548,688967.7419,778366.6667,773258.0645,615.2190476,-0.077,-0.0703,-0.0112,0.005,0.0568,0.0522,0.0563,0.0786,0.2024,0.1688,0.1944,0.0652,-0.0004,-0.0712,-0.082,-0.026,0.0373,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
19,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,3,0.23,1,2010,1.560,0.172932331,1.67,36,0.2,33.6405033,0.657,0.171856737,4.93349311,,,1.1599984,0.78999841,1.83999838,-1.15000155,-0.64000156,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,-1.71000154,-2.67000151,-0.94000155,1.43999839,1.91999838,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,712419.3548,946964.2857,688967.7419,778366.6667,773258.0645,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,298677.4194,298677.4194,812612.9032,844533.3333,1399838.71,427.2047619,-0.0004,-0.0712,-0.082,-0.026,0.0373,0.0676,0.0974,0.1051,0.185,0.1688,0.0992,-0.0423,-0.1254,-0.1298,-0.0233,-0.0539,-0.0111,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
20,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,3.5,0.11,NA,2011,1.670,0.070512821,1.67,36,0.2,36,0.804,0.070138567,2.359496705,,,0.90999841,0.43999842,-0.12000157,-0.06000157,0.33999842,1.2599984,1.40999839,1.89999838,-0.48000156,-1.76000153,-1.32000154,-1.34000154,1.40999839,-0.99000155,-1.13000155,0.21999842,0.07999842,-1.41000154,0.45999842,1.51999839,2.68999837,1.2099984,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1.48999839,-0.40000156,2.36999837,0.02999843,0.08999842,298677.4194,308178.5714,812612.9032,844533.3333,1399838.71,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,626193.5484,626193.5484,618290.3226,567433.3333,400322.5806,523.8666667,-0.1254,-0.1298,-0.0233,-0.0539,-0.0111,0.0299,0.062,0.0791,0.096,0.0867,0.091,0.0863,0.0292,0.0206,0.0311,0.0292,0.0562,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
1,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,1,1.06,NA,2008,1.060,,1.70,41,0.2,25.68095144,0.294,,25.68095144,1.86E-05,2.979,-2.01000153,-0.15000157,-1.13000155,-1.20000155,-0.01000157,0.87999841,1.79999839,2.08999838,-3.59000149,-2.18000153,-0.31000157,-0.37000157,1.0799984,-0.82000156,-1.36000154,-0.37000157,-0.64000156,-1.2200015,1.6699984,2.0399984,1.8799984,3.0699984,2.2699984,1.3999984,0.5199984,-0.4000016,-1.6000015,-0.3800016,1.1699984,0.2999984,1.6199984,2.0699984,2.2399984,1.7999984,480064.5161,609965.5172,886870.9677,1363266.667,1097096.774,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,589354.8387,589354.8387,571645.1613,766666.6667,1040258.065,467.7794163,-0.0294,-0.0334,-0.0589,-0.0059,0.022,0.0726,0.1123,0.0476,0.1497,0.1703,0.0918,0.0109,-0.0679,-0.0721,-0.0225,0.0012,0.0328,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
2,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,2,0.326,1,2009,1.386,0.30754717,1.70,41,0.2,33.52494594,0.650,0.305440182,7.843994496,,,1.0799984,-0.8200016,-1.3600015,-0.3700016,-0.6400016,2.6899984,3.0099984,0.8099984,-0.4800016,-0.2000016,-1.1100015,-1.1100015,0.6999984,0.3299984,1.6899984,-1.6700015,-0.6100016,0.2999984,1.6199984,2.0699984,2.2399984,1.7999984,1.0999984,1.8999984,0.4199984,0.7099984,0.6899984,-2.5600015,-1.0300016,-1.6400015,-2.6300015,-0.3800016,2.1599984,2.5299984,589354.8387,477714.2857,571645.1613,766666.6667,1040258.065,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,712419.3548,712419.3548,688967.7419,778366.6667,773258.0645,615.2190476,-0.0679,-0.0721,-0.0225,0.0012,0.0328,0.0858,0.0763,0.1287,0.1886,0.1681,0.1802,0.0741,-0.0199,-0.0565,-0.054,-0.0381,0.0182,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
