Unique.ID,Catch Year,Age at Catch,Fish ID,Station-Transect,Converted Lat,Converted Long,Weight(Kg),Increment Number,Increment Width,Year of Increment Formation,Radius at age Ri (mm),Growth Rate,Otolith radius at capture: Rcpt,Fish length at capture: Lcpt (cm),Average fish length at hatching: L0p (cm),Biological Intercept,Back-Calculated Length Option 2 (Ernst Method_regression),Back Calculated Weight (W=aL^b),Growth Rate (Biological Intercept),Length Increments,a,b,June U,July U,August U,September U,October U,November U,December U,June V,July V,August V,September V,October V,November V,December V,June Discharge,July Discharge,August Discharge,September Discharge,October Discharge,November Discharge,December Discharge,Avg Discharge,June MSLA,July MSLA,August MSLA,September MSLA,October MSLA,November MSLA,December MSLA,June WSC,July WSC,August WSC,September WSC,October WSC,November WSC,December WSC
1,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,1,1.06,2008,1.06,,1.7,41,0.2,25.68095144,29.8716,0.29,,25.68095144,1.86E-05,2.979057,-15.42,-22.45,-20.31,-7.79,-0.05,27.07,19.95,-0.9900016,-0.6200016,-0.4200016,-0.3000016,0.9999984,5.4499983,3.0799984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0726,0.1123,0.0476,0.1497,0.1703,0.0918,0.0109,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
2,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,2,0.326,2009,1.386,0.30754717,1.7,41,0.2,33.52494594,39.05176,0.65,0.305440182,7.843994496,,,-16.450001,-22.560001,-20.360001,-11.420001,2.649998,22.939998,5.649998,-0.26000157,0.15999842,-0.04000157,0.46999842,3.00999836,3.95999834,10.1599982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0858,0.0763,0.1287,0.1886,0.1681,0.1802,0.0741,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
3,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,3,0.253,2010,1.639,0.182539683,1.7,41,0.2,39.61246314,46.17624,1.07,0.181581716,6.087517201,,,-19.000001,-27.550001,-28.020001,-14.100001,6.659998,15.469998,20.879998,-0.12000157,-0.04000157,0.18999842,-0.12000157,2.01999838,0.71999841,3.61999835,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0881,0.1122,0.1379,0.1815,0.1181,0.0572,-0.0444,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
4,2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,1.28,3.5,0.056,2011,1.695,0.034167175,1.7,41,0.2,40.95989778,47.7532,1.18,0.034015422,1.347434637,,,-9.100001,-20.450001,-18.880001,-3.620001,8.879998,25.659998,28.739998,-0.3400016,-0.1800016,0.2199984,0.6899984,3.0799984,2.2999984,6.8899983,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0522,0.0824,0.0963,0.1004,0.0657,0.1022,0.0804,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
5,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,1,0.866,2008,0.866,,1.58,42,0.2,23.14711233,24.40856,0.22,,23.14711233,,,-14.99,-22.36,-19.86,-7.54,-0.37,27.51,21.56,-1.0000016,-0.4300016,-0.2300016,-0.3600016,-0.2600016,4.6199983,3.2599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0481,0.0559,-0.0065,0.1815,0.1885,0.0537,-0.0098,#N/A,#N/A,-148.354996,56.3030014,#N/A,#N/A,#N/A
6,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,2,0.38,2009,1.246,0.438799076,1.58,42,0.2,33.22792469,35.10936,0.63,0.435510582,10.08081235,,,-16.250001,-22.280001,-19.880001,-11.260001,3.219998,23.649998,4.049998,-0.07000157,0.42999842,0.30999842,0.59999841,2.27999838,4.05999834,9.9899982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0149,0.0312,0.1086,0.2254,0.1573,0.1424,0.0572,-11.6639996,12.0539999,-0.061999999,2.13400006,-28.0300007,-2.727,-74.0820007
7,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,3,0.256,2010,1.502,0.205457464,1.58,42,0.2,40.0192088,42.31832,1.1,0.204384841,6.791284113,,,-18.600001,-27.050001,-27.530001,-13.990001,6.349998,14.729998,20.449998,0.1399984,0.1599984,0.2499984,-0.1000016,1.2699984,0.1399984,2.7299984,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0685,0.1428,0.0868,0.2113,0.0847,0.0909,-0.0875,-11.1560001,-8.58899975,-63.9309998,-4.70699978,-33.8860016,-33.3419991,#N/A
8,2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,1.228,3.5,0.073,2011,1.575,0.048601864,1.58,42,0.2,41.95578591,44.374,1.27,0.048391189,1.93657711,,,-9.090001,-20.280001,-18.810001,-3.710001,9.389998,26.569998,30.669998,-0.02000157,0.19999842,0.54999841,0.59999841,0.88999841,1.40999839,7.41999826,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.025,0.0479,0.0235,0.1043,0.077,0.1026,0.0519,-8.58399963,42.3889999,-11.2819996,-6.71000004,-28.2989998,-44.3540001,#N/A
9,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,1,0.813,2008,0.813,,1.62,43,0.2,21.67935723,22.91608,0.18,,21.67935723,,,-14.99,-22.36,-19.86,-7.54,-0.37,27.51,21.56,-1.0000016,-0.4300016,-0.2300016,-0.3600016,-0.2600016,4.6199983,3.2599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0481,0.0559,-0.0065,0.1815,0.1885,0.0537,-0.0098,#N/A,#N/A,-148.354996,56.3030014,#N/A,#N/A,#N/A
10,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,2,0.426,2009,1.239,0.52398524,1.62,43,0.2,32.94808405,34.91224,0.62,0.519790633,11.26872682,,,-16.250001,-22.280001,-19.880001,-11.260001,3.219998,23.649998,4.049998,-0.07000157,0.42999842,0.30999842,0.59999841,2.27999838,4.05999834,9.9899982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0149,0.0312,0.1086,0.2254,0.1573,0.1424,0.0572,-11.6639996,12.0539999,-0.061999999,2.13400006,-28.0300007,-2.727,-74.0820007
