Catch Year,Age at Catch,Fish ID,Station-Transect,Converted Lat,Converted Long,Weight(Kg),Increment Number,Increment Width,Year of Increment Formation,Radius at age Ri (mm),Growth Rate,Otolith radius at capture: Rcpt,Fish length at capture: Lcpt (cm),Average fish length at hatching: L0p (cm),Biological Intercept,Back-Calculated Length Option 2 (Ernst Method_regression),Back Calculated Weight (W=aL^b),Growth Rate (Biological Intercept),Length Increments,a,b,June U,July U,August U,September U,October U,November U,December U,June V,July V,August V,September V,October V,November V,December V,June Discharge,July Discharge,August Discharge,September Discharge,October Discharge,November Discharge,December Discharge,Avg Discharge,June MSLA,July MSLA,August MSLA,September MSLA,October MSLA,November MSLA,December MSLA
2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,1,1.06,2008,1.060,,1.70,41,0.2,25.68095144,29.8716,0.298,,25.68095144,1.88E-05,2.98,-15.42,-22.45,-20.31,-7.79,-0.05,27.07,19.95,-0.9900016,-0.6200016,-0.4200016,-0.3000016,0.9999984,5.4499983,3.0799984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0726,0.1123,0.0476,0.1497,0.1703,0.0918,0.0109
2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,2,0.326,2009,1.386,0.30754717,1.70,41,0.2,33.52494594,39.05176,0.659,0.305440182,7.843994496,,,-16.450001,-22.560001,-20.360001,-11.420001,2.649998,22.939998,5.649998,-0.26000157,0.15999842,-0.04000157,0.46999842,3.00999836,3.95999834,10.1599982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0858,0.0763,0.1287,0.1886,0.1681,0.1802,0.0741
2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,,3,0.253,2010,1.639,0.182539683,1.70,41,0.2,39.61246314,46.17624,1.083,0.181581716,6.087517201,,,-19.000001,-27.550001,-28.020001,-14.100001,6.659998,15.469998,20.879998,-0.12000157,-0.04000157,0.18999842,-0.12000157,2.01999838,0.71999841,3.61999835,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0881,0.1122,0.1379,0.1815,0.1181,0.0572,-0.0444
2011,3.5,PC1220_142,PC1220,28.8512,-89.4845,1.28,3.5,0.056,2011,1.695,0.034167175,1.70,41,0.2,40.95989778,47.7532,1.196,0.034015422,1.347434637,,,-9.100001,-20.450001,-18.880001,-3.620001,8.879998,25.659998,28.739998,-0.3400016,-0.1800016,0.2199984,0.6899984,3.0799984,2.2999984,6.8899983,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0522,0.0824,0.0963,0.1004,0.0657,0.1022,0.0804
2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,1,0.866,2008,0.866,,1.58,42,0.2,23.14711233,24.40856,0.218,,23.14711233,,,-14.99,-22.36,-19.86,-7.54,-0.37,27.51,21.56,-1.0000016,-0.4300016,-0.2300016,-0.3600016,-0.2600016,4.6199983,3.2599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0481,0.0559,-0.0065,0.1815,0.1885,0.0537,-0.0098
2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,2,0.38,2009,1.246,0.438799076,1.58,42,0.2,33.22792469,35.10936,0.641,0.435510582,10.08081235,,,-16.250001,-22.280001,-19.880001,-11.260001,3.219998,23.649998,4.049998,-0.07000157,0.42999842,0.30999842,0.59999841,2.27999838,4.05999834,9.9899982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0149,0.0312,0.1086,0.2254,0.1573,0.1424,0.0572
2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,,3,0.256,2010,1.502,0.205457464,1.58,42,0.2,40.0192088,42.31832,1.116,0.204384841,6.791284113,,,-18.600001,-27.050001,-27.530001,-13.990001,6.349998,14.729998,20.449998,0.1399984,0.1599984,0.2499984,-0.1000016,1.2699984,0.1399984,2.7299984,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0685,0.1428,0.0868,0.2113,0.0847,0.0909,-0.0875
2011,3.5,pC1510_2,PC1510,30.05563333,-88.36293333,1.228,3.5,0.073,2011,1.575,0.048601864,1.58,42,0.2,41.95578591,44.374,1.285,0.048391189,1.93657711,,,-9.090001,-20.280001,-18.810001,-3.710001,9.389998,26.569998,30.669998,-0.02000157,0.19999842,0.54999841,0.59999841,0.88999841,1.40999839,7.41999826,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.025,0.0479,0.0235,0.1043,0.077,0.1026,0.0519
2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,1,0.813,2008,0.813,,1.62,43,0.2,21.67935723,22.91608,0.180,,21.67935723,,,-14.99,-22.36,-19.86,-7.54,-0.37,27.51,21.56,-1.0000016,-0.4300016,-0.2300016,-0.3600016,-0.2600016,4.6199983,3.2599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0481,0.0559,-0.0065,0.1815,0.1885,0.0537,-0.0098
2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,2,0.426,2009,1.239,0.52398524,1.62,43,0.2,32.94808405,34.91224,0.625,0.519790633,11.26872682,,,-16.250001,-22.280001,-19.880001,-11.260001,3.219998,23.649998,4.049998,-0.07000157,0.42999842,0.30999842,0.59999841,2.27999838,4.05999834,9.9899982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0149,0.0312,0.1086,0.2254,0.1573,0.1424,0.0572
2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,3,0.29,2010,1.529,0.234059726,1.62,43,0.2,40.61928307,43.07864,1.167,0.232826862,7.671199011,,,-18.600001,-27.050001,-27.530001,-13.990001,6.349998,14.729998,20.449998,0.1399984,0.1599984,0.2499984,-0.1000016,1.2699984,0.1399984,2.7299984,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0685,0.1428,0.0868,0.2113,0.0847,0.0909,-0.0875
2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,3.5,0.09,2011,1.619,0.058862001,1.62,43,0.2,43,45.61304,1.383,0.058610511,2.380716934,,,-9.090001,-20.280001,-18.810001,-3.710001,9.389998,26.569998,30.669998,-0.02000157,0.19999842,0.54999841,0.59999841,0.88999841,1.40999839,7.41999826,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.025,0.0479,0.0235,0.1043,0.077,0.1026,0.0519
2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,1,1.01,2008,1.010,,1.70,45,0.2,26.86855457,28.4636,0.341,,26.86855457,,,-14.99,-22.36,-19.86,-7.54,-0.37,27.51,21.56,-1.0000016,-0.4300016,-0.2300016,-0.3600016,-0.2600016,4.6199983,3.2599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0227,0.0655,-0.0154,0.2055,0.2155,0.0709,0.0149
2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,2,0.303,2009,1.313,0.3,1.70,45,0.2,34.87705015,36.99608,0.741,0.298062017,8.008495575,,,-16.250001,-22.280001,-19.880001,-11.260001,3.219998,23.649998,4.049998,-0.07000157,0.42999842,0.30999842,0.59999841,2.27999838,4.05999834,9.9899982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.023,0.0319,0.0944,0.2199,0.164,0.187,0.0685
2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,3,0.253,2010,1.566,0.1926885,1.70,45,0.2,41.5640118,44.12056,1.250,0.191729565,6.686961652,,,-18.600001,-27.050001,-27.530001,-13.990001,6.349998,14.729998,20.449998,0.1399984,0.1599984,0.2499984,-0.1000016,1.2699984,0.1399984,2.7299984,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0628,0.1142,0.0981,0.1983,0.0961,0.1037,-0.0622
2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,3.5,0.13,2011,1.696,0.083014049,1.70,45,0.2,45,47.78136,1.583,0.082667386,3.435988201,,,-9.090001,-20.280001,-18.810001,-3.710001,9.389998,26.569998,30.669998,-0.02000157,0.19999842,0.54999841,0.59999841,0.88999841,1.40999839,7.41999826,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0214,0.0389,0.0541,0.0987,0.0964,0.102,0.0756
2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,1,1,2008,1.000,,1.67,36,0.2,21.62852007,28.182,0.178,,21.62852007,,,-14.99,-22.36,-19.86,-7.54,-0.37,27.51,21.56,-1.0000016,-0.4300016,-0.2300016,-0.3600016,-0.2600016,4.6199983,3.2599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.035,0.0987,0.0208,0.1773,0.2118,0.0664,0.0278
2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,2,0.33,2009,1.330,0.33,1.67,36,0.2,28.70701019,37.4748,0.415,0.327275749,7.078490114,,,-16.250001,-22.280001,-19.880001,-11.260001,3.219998,23.649998,4.049998,-0.07000157,0.42999842,0.30999842,0.59999841,2.27999838,4.05999834,9.9899982,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0522,0.0563,0.0786,0.2024,0.1688,0.1944,0.0652
2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,3,0.23,2010,1.560,0.172932331,1.67,36,0.2,33.6405033,43.9516,0.665,0.171856737,4.93349311,,,-18.600001,-27.050001,-27.530001,-13.990001,6.349998,14.729998,20.449998,0.1399984,0.1599984,0.2499984,-0.1000016,1.2699984,0.1399984,2.7299984,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0676,0.0974,0.1051,0.185,0.1184,0.0992,-0.0423
2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,3.5,0.11,2011,1.670,0.070512821,1.67,36,0.2,36,47.0492,0.814,0.070138567,2.359496705,,,-9.090001,-20.280001,-18.810001,-3.710001,9.389998,26.569998,30.669998,-0.02000157,0.19999842,0.54999841,0.59999841,0.88999841,1.40999839,7.41999826,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0299,0.062,0.0791,0.096,0.0867,0.102,0.0863
2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,1,0.826666667,2007,0.827,,1.77,42,0.2,19.70981722,23.30093333,0.135,,19.70981722,,,-12.8,-23.45,-22.54,-14.13,3.769,20.81,22.33,-0.25000157,-0.04000157,0.61999841,-0.18000157,0.44999842,2.78999836,0.65999841,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,328.4122888,0.0421,0.0264,0.1063,0.1498,0.1175,0.0675,0.0478
2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,2,0.436666667,2008,1.263,0.528225806,1.77,42,0.2,30.0278877,35.59746667,0.474,0.523499044,10.31807047,,,-14.61,-22.23,-19.67,-7.28,-0.67,27.5,22.79,-0.88000155,-0.26000157,-0.05000157,-0.24000157,-0.21000157,3.50999835,3.38999835,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0738,0.0669,0.075,0.246,0.185,0.0644,0.0715
2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,3,0.253333333,2009,1.517,0.200527704,1.77,42,0.2,36.01394385,42.73133333,0.815,0.199349891,5.986056152,,,-15.950001,-21.920001,-19.280001,-10.940001,3.449998,24.149998,2.089998,0.009998426,0.509998415,0.459998416,0.589998413,1.209998399,3.759998342,9.599998211,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0612,0.1003,0.1093,0.2098,0.1547,0.1812,0.0615
2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,4,0.193333333,2010,1.710,0.127472527,1.77,42,0.2,40.58224986,48.1756,1.164,0.126848257,4.568306011,,,-18.290001,-26.750001,-27.090001,-13.830001,5.949998,14.129998,19.619998,0.27999842,0.19999842,0.31999842,0.01999843,0.77999841,-0.40000156,2.11999838,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0963,0.1181,0.1252,0.1819,0.1091,0.0467,-0.0788
2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,1.162,4.5,0.06,2011,1.770,0.035087719,1.77,42,0.2,42,49.8652,1.289,0.034935228,1.417750141,,,-9.130001,-20.100001,-18.770001,-3.590001,9.269998,26.729998,31.959998,0.19999842,0.31999842,0.60999841,0.52999841,-0.49000156,0.09999842,7.01999827,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0748,0.1016,0.1186,0.1347,0.1032,0.0939,0.0729
