Station,Converted Lat,Converted Long
58,28.65,-91.917
36,28.6426,-90.6259
PC1310,28.6426,-90.6259
38,28.2178,-90.5845
PC1340,28.2178,-90.5845
37,28.4734,-90.5568
PC1320,28.4743,-90.5568
He 265,28.37657,-90.5112
SL16150,28.62116667,-90.00463333
WB16150,28.62116667,-90.00463333
52,28.7,-90
51,28.85,-90
34,28.8241,-89.5074
33,28.8512,-89.4845
PC1220,28.8512,-89.4845
PC1120,29.1501,-88.9001
30,29.1093,-88.876
PC1140,29.1093,-88.876
WBSL1040,29.20453333,-88.87021667
10-40,29.2045,-88.8702
PC1010,29.51233333,-88.68658333
27,29.4525,-88.6525
PC1020,29.4525,-88.6525
28,29.2355,-88.5522
PC1520,29.60456667,-88.4186
PC1510,30.05563333,-88.36293333
PC0910,30.00926667,-88.0945
PC0920,29.6201,-88.04311667
PC1420,29.81701667,-87.42438333
PC81460,29.71011667,-87.32881667
WBSL840,29.88771667,-87.29438333
PC0720,30.10545,-86.35315
PC0710,30.30253333,-86.22965
BS1,29.163,-85.748
PC0620,29.36868333,-85.57361667
PC0610,29.42406667,-85.4395
16,28.7841,-85.0674
15,28.8259,-84.9092
BR0520,29.0935,-84.58155
83,29.08893333,-84.5756
82,27.95773333,-84.54353333
14,28.0729,-84.4396
BR0440,28.0729,-84.4396
SL 4-40,28.0889,-84.4324
BR3440,27.80096667,-84.35875
BR0340,27.50363333,-84.24111667
BR4/5_10,29.2511,-83.781
BR0320,27.56066667,-83.38716667
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
