Year,PC1010_20,PC1020_59,PC1220_142,PC1510_1,pC1510_2,BR0520_2,PC0610_11,PC0720_6,PC0920_12,PC1010_10,PC1010_11,PC1010_19,PC1010_21,PC1020_58,PC1220_21,PC1510_3,PC1520_4,BR0320_47,BR0440_40,BR4/5 10_16,PC0610_13,PC0610_14,pC0610_16,PC0710_2,PC0910_4,PC1020_37,PC1020_44,PC1020_45,PC1020_49,PC1020_50,PC1020_53,PC1020_54,PC1020_61,PC1120_154,PC1220_22,PC1220_7,PC1220_74,PC1220_79,PC1220_8,PC1220_91,PC1310_63,PC1320_80,PC1420_7,PC1520_5,PC1520_6,BR0340_8,PC0610_12,PC0610_2,pC0610_4,PC0610_7,PC0910_2,PC1120_137 ,PC1220_18,PC1320_20,PC1320_77,PC1340_72,PC1340_74,PC1340_83,PC1520_16,PC1520_7,BR3440_4,PC0610_6,PC0610_9,PC0620_15,PC1120_145,PC1120_146,PC1120_149,PC1140_117,PC1220_9,PC1320_17,PC1320_76,PC1320_84,pC1520_17,PC81460_38,36_31,36_43,36_45,80_38,52_63,33_17,36_41,36_44,36_47,36_15,33_12,WBSL1040_74,52_52,15_19,16_9,27_30,27_31,33_13,33_26,33_27,34_05,36_11,36_35,58_14,80_02,80_11,80_16,80_21,80_37,80_4,80_46,WBSL1040_14,WBSL840_10,WBSL840_11,14_24,14_9,27_18,27_20,27_23,27_32,27_33,28_88,34_34,34_53,34_70,34_74,36_24,36_39,36_42,37_1,37_15,37_3,51_32,52_53,52_70,58_11,58_7,80_12,80_15,80_18,80_19,80_24,80_25,80_45,83_4,WBSL1040_77,WBSL1040_78,15_18,28_13,28_27,28_93,30_84,36_13,36_32,38_111,38_93,51_30,58_20,58_25,58_6,82_7,WB16150_38,WBSL840_9,14_21,36_23,38_90,58_21,58_9,10-40-142,He 265-14,SL 16-150-115,He 265-11,He 265-23,BS1_12,SL 4-40_29,WBSL16-150_124,SL10-40_141,SL10-40_169,10-40-155,10-40-160,10-40-42,He 265-6,Sl 10-40-168,He 265-13,He 265-5,SL 4-40-6,10-40-154,10-40-54,10-40-1,BS1-9,10-40-151,10-40-140,10-40-126,10-40-143,10-40-62
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.386666667,0.336666667,0.303333333,0.433333333,0.226666667,0.36,0.35,0.336666667,0.37,0.276666667,0.346666667,0.333333333,0.313333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.32,0.35,0.34,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323333333,0.4,0.34,0.533333333,0.386666667,0.4,0.423333333,0.363333333,0.32,0.34,0.316666667,0.35,0.326666667,0.316666667,0.316666667,0.276666667,0.33,0.253333333,0.246666667,0.333333333,0.253333333,0.256666667,0.243333333,0.2,0.356666667,0.213333333,0.27,0.22,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.41,0.396666667,0.39,0.403333333,0.5,0.44,0.276666667,0.37,0.32,0.4,0.393333333,0.18,0.503333333,0.303333333,0.346666667,0.243333333,0.373333333,0.276666667,0.23,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,0.296666667,0.253333333
2007,,,,,,,,,,,,,,,,,,0.51,0.4,0.36,0.356666667,0.336666667,0.38,0.426666667,0.506666667,0.413333333,0.44,0.403333333,0.396666667,0.413333333,0.366666667,0.53,0.423333333,0.3,0.403333333,0.35,0.33,0.25,0.44,0.433333333,0.426666667,0.393333333,0.473333333,0.326666667,0.343333333,0.3,0.3,0.266666667,0.3,0.29,0.296666667,0.313333333,0.296666667,0.21,0.306666667,0.25,0.293333333,0.283333333,0.263333333,0.243333333,0.246666667,0.23,0.19,0.193333333,0.25,0.263333333,0.243333333,0.27,0.16,0.3,0.183333333,0.25,0.193333333,0.203333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296666667,0.323333333,0.43,0.48,0.403333333,0.276666667,0.326666667,0.38,0.423333333,0.353333333,0.34,0.406666667,0.346666667,0.34,0.58,0.356666667,0.516666667,0.446666667,0.31,0.296666667,0.28,0.266666667,0.323333333,0.3,0.353333333,0.416666667,0.363333333,0.293333333,0.346666667,0.316666667,0.433333333,0.286666667,0.396666667,0.293333333,0.296666667,0.343333333,0.326666667,0.323333333,0.27,0.246666667,0.206666667,0.286666667,0.236666667,0.32,0.25,0.22,0.296666667,0.26,0.31,0.266666667,0.223333333,0.246666667,0.243333333,0.253333333,,,,,,,,,,,,,,,,0.436666667,0.343333333,0.43,0.303333333,0.396666667,0.306666667,0.283,0.386,0.423,0.47,0.243333333,0.226666667
2008,,,,,,0.436666667,0.376,0.366666667,0.28,0.48,0.363333333,0.353333333,0.356666667,0.253,0.36,0.326,0.263,0.273333333,0.243333333,0.21,0.2,0.173333333,0.213333333,0.27,0.33,0.323333333,0.276666667,0.223333333,0.32,0.293333333,0.253333333,0.213333333,0.236666667,0.196666667,0.213333333,0.196666667,0.26,0.196666667,0.276666667,0.226666667,0.316666667,0.28,0.256666667,0.193333333,0.27,0.253333333,0.233333333,0.193333333,0.256666667,0.21,0.25,0.223333333,0.216666667,0.206666667,0.206666667,0.213333333,0.183333333,0.24,0.203333333,0.26,0.16,0.2,0.203333333,0.153333333,0.213333333,0.176666667,0.18,0.176666667,0.21,0.226666667,0.213333333,0.263333333,0.18,0.176666667,,,,,,,,,,,,,,0.356666667,0.386666667,0.26,0.316666667,0.38,0.38,0.32,0.273333333,0.296666667,0.366666667,0.32,0.27,0.25,0.3,0.316666667,0.356666667,0.356666667,0.27,0.363333333,0.346666667,0.26,0.29,0.226666667,0.26,0.246666667,0.306666667,0.2,0.186666667,0.206666667,0.226666667,0.22,0.19,0.28,0.24,0.273333333,0.35,0.246666667,0.3,0.303333333,0.176666667,0.246666667,0.223333333,0.23,0.296666667,0.226666667,0.186666667,0.263333333,0.206666667,0.226666667,0.226666667,0.21,0.223333333,0.206666667,0.236666667,0.21,0.196666667,0.28,0.21,0.3,0.203333333,0.156666667,0.213333333,0.19,0.18,0.26,0.21,0.21,0.23,0.206666667,0.166666667,0.186666667,0.173333333,0.206666667,0.223333333,0.213333333,,,,,,0.35,0.36,0.28,0.28,0.343,0.35,0.34,0.253333333,0.363333333,0.35,0.303333333,0.173333333,0.273333333,0.193333333,0.233333333,0.19,0.24,0.213,0.283,0.233,0.2,0.18
2009,0.303,0.33,0.326,0.426,0.38,0.253333333,0.306,0.186666667,0.206666667,0.236666667,0.293333333,0.283333333,0.243333333,0.243,0.276666667,0.303,0.226,0.28,0.156666667,0.283333333,0.25,0.17,0.246666667,0.21,0.223333333,0.273333333,0.263333333,0.19,0.33,0.206666667,0.21,0.256666667,0.18,0.183333333,0.24,0.226666667,0.263333333,0.196666667,0.22,0.27,0.33,0.226666667,0.28,0.2,0.226666667,0.216666667,0.21,0.233333333,0.21,0.24,0.26,0.22,0.253333333,0.216666667,0.23,0.19,0.216666667,0.226666667,0.23,0.22,0.19,0.223333333,0.14,0.183333333,0.176666667,0.146666667,0.206666667,0.183333333,0.156666667,0.206666667,0.243333333,0.28,0.16,0.18,,,,0.363,0.39,0.516666667,0.396666667,0.443333333,0.256666667,0.353,0.403,0.41,0.34,0.2,0.29,0.24,0.263333333,0.233333333,0.24,0.233333333,0.223333333,0.21,0.266666667,0.293333333,0.193333333,0.176666667,0.223333333,0.236666667,0.253333333,0.226666667,0.213333333,0.223333333,0.253333333,0.256666667,0.213333333,0.216666667,0.256666667,0.236666667,0.223333333,0.16,0.21,0.24,0.25,0.216666667,0.206666667,0.213333333,0.196666667,0.216666667,0.313333333,0.246666667,0.243333333,0.276666667,0.2,0.216666667,0.21,0.233333333,0.26,0.173333333,0.173333333,0.28,0.19,0.156666667,0.2,0.18,0.22,0.18,0.23,0.256666667,0.173333333,0.226666667,0.2,0.22,0.17,0.166666667,0.18,0.213333333,0.173333333,0.213333333,0.223333333,0.233333333,0.236666667,0.156666667,0.183333333,0.15,0.19,0.18,0.263333333,0.226666667,,,,0.396666667,0.306666667,0.276,0.213,0.246,0.19,0.253,0.246666667,0.256666667,0.21,0.296666667,0.276666667,0.24,0.203333333,0.23,0.176666667,0.21,0.213333333,0.246,0.196,0.226,0.23,0.186666667,0.19
2010,0.253,0.23,0.253,0.29,0.256,0.193333333,0.23,0.146666667,0.173333333,0.276666667,0.27,0.216666667,0.213333333,0.223,0.2,0.25,0.17,0.15,0.136666667,0.213333333,0.216666667,0.193333333,0.23,0.22,0.213333333,0.22,0.186666667,0.176666667,0.213333333,0.183333333,0.19,0.19,0.146666667,0.14,0.146666667,0.14,0.17,0.15,0.12,0.18,0.29,0.206666667,0.173333333,0.13,0.163333333,0.143333333,0.166666667,0.183333333,0.146666667,0.166666667,0.2,0.136666667,0.146666667,0.14,0.17,0.163333333,0.133333333,0.143333333,0.136666667,0.17,0.163333333,0.166666667,0.133333333,0.14,0.12,0.11,0.13,0.166666667,0.12,0.17,0.123333333,0.203333333,0.136666667,0.113333333,0.42,0.386,0.393,0.256,0.193,0.263333333,0.336666667,0.363333333,0.31,0.313,0.24,0.273,0.3,0.173333333,0.203333333,0.203333333,0.263333333,0.2,0.173333333,0.206666667,0.213333333,0.26,0.186666667,0.233333333,0.186666667,0.146666667,0.163333333,0.156666667,0.2,0.166666667,0.153333333,0.136666667,0.153333333,0.163333333,0.14,0.15,0.21,0.223333333,0.206666667,0.16,0.203333333,0.18,0.136666667,0.196666667,0.143333333,0.143333333,0.153333333,0.2,0.253333333,0.203333333,0.27,0.266666667,0.18,0.206666667,0.193333333,0.196666667,0.2,0.153333333,0.113333333,0.183333333,0.136666667,0.136666667,0.156666667,0.103333333,0.186666667,0.136666667,0.173333333,0.156666667,0.143333333,0.18,0.233333333,0.183333333,0.196666667,0.153333333,0.143333333,0.186666667,0.156666667,0.156666667,0.156666667,0.153333333,0.176666667,0.19,0.163333333,0.14,0.18,0.143333333,0.263333333,0.14,0.3,0.256666667,0.31,0.24,0.21,0.206,0.13,0.21,0.18,0.136,0.176666667,0.166666667,0.19,0.236666667,0.19,0.25,0.203333333,0.206666667,0.13,0.153333333,0.143333333,0.173,0.176,0.16,0.143,0.14,0.126666667
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,0.266,0.35,0.243,0.143,0.196666667,0.296666667,0.213333333,0.253333333,0.25,0.163,0.253,0.18,0.196666667,0.17,0.176666667,0.203333333,0.156666667,0.156666667,0.19,0.163333333,0.23,0.193333333,0.216666667,0.146666667,0.173333333,0.14,0.146666667,0.206666667,0.14,0.153333333,0.15,0.14,0.183333333,0.17,0.18,0.18,0.183333333,0.146666667,0.14,0.163333333,0.18,0.133333333,0.143333333,0.126666667,0.123333333,0.17,0.166666667,0.193333333,0.16,0.13,0.196666667,0.153333333,0.146666667,0.13,0.143333333,0.186666667,0.14,0.12,0.206666667,0.146666667,0.176666667,0.123333333,0.13,0.18,0.146666667,0.173333333,0.143333333,0.12,0.116666667,0.153333333,0.133333333,0.153333333,0.166666667,0.126666667,0.166666667,0.133333333,0.14,0.14,0.143333333,0.166666667,0.106666667,0.116666667,0.126666667,0.13,0.096666667,0.19,0.12,0.256666667,0.27,0.27,0.166666667,0.193333333,0.16,0.15,0.143,0.193,0.18,0.2,0.223333333,0.176666667,0.243333333,0.233333333,0.193333333,0.163333333,0.223333333,0.123333333,0.18,0.166666667,0.163,0.123,0.176,0.166,0.136666667,0.123333333
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283333333,0.193333333,0.2133,0.193333333,0.21,0.126,0.103,0.143,0.09,0.12,0.146666667,0.13,0.16,0.206666667,0.146666667,0.18,0.126666667,0.193333333,0.096666667,0.113333333,0.09,0.146,0.136,0.163,0.146,0.08,0.113333333
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
