Catch Date,,Station,Fish ID,Rings,Edgecode,Age,Fractional Age,Weight (kg),Fork Length (cm)
8/15/11,2011,PC-12-20,151,2,4,2,2.7,0.506,29
8/15/11,2011,PC-12-20,143,2,4,2,2.7,0.526,30
8/17/11,2011,PC-10-10,5,2,4,2,2.7,0.624,32
8/17/11,2011,PC-10-10,6,2,4,2,2.7,0.118,34
8/17/11,2011,PC-10-10,18,2,4,2,2.7,0.17,35
8/2/11,2011,PC-09-20,12,4,4,4,4.7,0.782,36
8/17/11,2011,PC-10-20,59,3,4,3,3.7,0.826,36
8/17/11,2011,PC-10-10,7,2,4,2,2.7,0.84,36
7/18/11,2011,PC-07-20,6,4,4,4,4.6,0.85,38
7/19/11,2011,PC-08-40,10,4,4,4,4.6,0.916,38
7/19/11,2011,PC-08-40,1,5,4,5,5.6,0.988,39
7/19/11,2011,PC-08-40,5,5,4,5,5.6,1.01,39
7/19/11,2011,PC-08-40,4,4,4,4,4.6,1.072,39
8/3/11,2011,PC-15-20,4,4,4,4,4.7,1.076,39
8/15/11,2011,PC-12-20,126,4,4,4,4.7,1.112,39
8/15/11,2011,PC-12-40,187,5,2,5,5.7,1.066,40
8/3/11,2011,PC-15-40,24,4,2,4,4.7,1.088,40
8/17/11,2011,PC-10-40,36,4,4,4,4.7,1.274,40
8/18/11,2011,PC-914-40,10,5,4,5,5.7,1.779,40
7/19/11,2011,PC-08-40,38,4,4,4,4.6,1.054,41
8/15/11,2011,PC-12-40,198,4,4,4,4.7,1.162,41
7/19/11,2011,PC-08-40,13,4,4,4,4.6,1.22,41
8/15/11,2011,PC-12-20,142,3,4,3,3.7,1.28,41
8/15/11,2011,PC-12-40,199,4,4,4,4.7,1.282,41
8/6/11,2011,BR-05-20,9,4,4,4,4.7,1.322,41
8/6/11,2011,BR-05-20,2,4,4,4,4.7,1.162,42
8/17/11,2011,PC-10-40,46,4,4,4,4.7,1.17,42
8/3/11,2011,PC-15-10,2,3,4,3,3.7,1.228,42
8/17/11,2011,PC-10-40,47,4,4,4,4.7,1.23,42
8/17/11,2011,PC-10-40,40,4,4,4,4.7,1.25,42
8/17/11,2011,PC-10-20,60,3,4,3,3.7,1.274,42
7/13/11,2011,PC-06-20,14,5,4,5,5.6,1.3,42
8/17/11,2011,PC-10-40,50,4,4,4,4.7,1.348,42
7/10/11,2011,BR-04-40,20,4,6,5,5.6,1.8,42
7/10/11,2011,BR-04-40,10,4,6,5,5.6,1.186,43
8/17/11,2011,PC-10-40,43,4,4,4,4.7,1.246,43
8/15/11,2011,PC-12-40,185,4,4,4,4.7,1.302,43
8/17/11,2011,PC-10-40,34,4,4,4,4.7,1.326,43
8/15/11,2011,PC-12-40,204,4,4,4,4.7,1.342,43
8/15/11,2011,PC-12-40,194,5,4,5,5.7,1.344,43
1-Aug,2011,PC-09-60,41,4,4,4,4.7,1.352,43
8/3/11,2011,PC-15-10,1,3,4,3,3.7,1.356,43
7/10/11,2011,BR-04-40,13,5,2,5,5.6,1.472,43
8/15/11,2011,PC-12-40,196,4,4,4,4.7,1.938,43
