Catch Date,,Station,Fish ID,Rings,Edgecode,Age,Fractional Age,Weight (kg),Fork Length (cm)
8/26/13,,SL 16-150,115,4,4,4,4.8,0.718,35
8/26/13,,SL 16-150,120,6,4,6,6.8,0.992,38
8/25/13,,He 265,21,5,6,5,5.8,0.964,42
8/25/13,,He 265,22,4,4,4,4.8,1.23,44
8/21/13,,SL 10-40,142,4,4,4,4.8,1.551,45
8/26/13,,SL 16-150,116,6,4,6,6.8,1.583,45
8/26/13,,SL 16-150,125,6,2,6,6.8,1.724,46
8/21/13,,SL 10-40,149,4,4,4,4.8,1.728,46
8/25/13,,He 265,14,4,4,4,4.8,1.306,47
8/21/13,,SL 10-40,161,6,4,6,6.8,1.868,47
8/26/13,,SL 16-150,111,5,4,5,5.8,1.822,48
8/25/13,,He 265,26,4,4,4,4.8,1.578,50
8/25/13,,He 265,23,5,4,5,5.8,1.695,50
8/26/13,,SL 16-150,123,7,4,7,7.8,1.948,50
6/17/13,,BSI,4,8,4,8,8.5,2.4,53
8/26/13,,SL 16-150,112,5,4,5,5.8,2.425,53
8/26/13,,SL 16-150,124,6,4,6,6.8,2.82,54
8/21/13,,SL 10-40,162,6,2,6,6.8,2.553,55
8/26/13,,SL 16-150,110,6,4,6,6.8,2.77,55
8/21/13,,SL 10-40,145,6,4,6,6.8,3.156,55
8/26/13,,SL 16-150,119,7,4,7,7.8,2.766,56
8/21/13,,SL 10-40,157,7,4,7,7.8,3.092,56
8/21/13,,SL 10-40,155,6,4,6,6.8,3.208,56
8/21/13,,SL 10-40,159,6,4,6,6.8,3.302,56
8/26/13,,SL 16-150,109,6,4,6,6.8,2.813,57
8/26/13,2013,SL 16-150,113,8,4,8,8.8,3.386,57
8/21/13,,SL 10-40,160,6,4,6,6.8,3.598,57
8/21/13,,SL 10-40,167,6,4,6,6.8,3.598,57
8/21/13,,SL 10-40,141,6,4,6,6.8,3.623,57
6/17/13,,BSI,14,6,6,6,6.5,2.5,58
6/17/13,,BSI,16,7,6,7,7.5,3,58
8/21/13,,SL 10-40,156,8,4,8,8.8,3.194,58
8/21/13,,SL 10-40,168,6,4,6,6.8,3.438,58
8/21/13,,SL 10-40,126,7,4,7,7.8,3.694,58
8/21/13,,SL 10-40,169,6,4,6,6.8,3.758,58
8/26/13,,SL 16-150,114,7,4,7,7.8,3.878,58
8/21/13,,SL 10-40,140,7,4,7,7.8,3.392,59
8/26/13,,SL 16-150,121,7,4,7,7.8,3.572,59
8/21/13,,SL 10-40,55,7,4,7,7.8,3.594,60
8/21/13,,SL 10-40,166,,,,0.8,3.62,60
8/25/13,,He 265,6,6,4,6,6.8,2.896,61
8/21/13,,SL 10-40,117,7,4,7,7.8,3.956,61
8/21/13,,SL 10-40,42,6,2,6,6.8,3.964,61
8/26/13,,SL 16-150,104,8,4,8,8.8,4.012,61
8/21/13,,SL 10-40,165,6,4,6,6.8,4.354,61
8/21/13,,SL 10-40,152,7,4,7,7.8,3.8,62
8/21/13,,SL 10-40,154,7,4,7,7.8,3.84,62
8/21/13,,SL 10-40,144,7,4,7,7.8,3.884,62
8/21/13,,SL 10-40,148,7,4,7,7.8,3.892,62
8/21/13,,SL 10-40,151,7,4,7,7.8,3.958,62
8/21/13,,SL 10-40,147,7,4,7,7.8,4.058,62
8/21/13,,SL 10-40,43,6,4,6,6.8,4.082,62
8/21/13,,SL 10-40,158,7,4,7,7.8,4.15,62
8/25/13,,He 265,4,6,4,6,6.8,4.4,62
8/21/13,,SL 10-40,163,7,4,7,7.8,4.988,62
8/21/13,,SL 10-40,146,7,4,7,7.8,3.698,63
8/21/13,,SL 10-40,1,7,4,7,7.8,4.39,63
8/26/13,,SL 16-150,107,8,4,8,8.8,4.502,63
8/26/13,,SL 16-150,122,8,4,8,8.8,3.978,64
8/21/13,,SL 10-40,150,8,4,8,8.8,4.028,64
8/21/13,,SL 10-40,143,8,4,8,8.8,4.46,64
8/29/13,,SL 4-40,29,6,4,6,6.8,4.484,64
8/21/13,,SL 10-40,170,7,4,7,7.8,4.98,64
8/21/13,,SL 10-40,25,7,4,7,7.8,4.994,64
8/25/13,,He 265,24,6,4,6,6.8,3.576,65
8/25/13,,He 265,5,7,4,7,7.8,3.756,65
8/25/13,,He 265,15,8,4,8,8.8,4.05,65
8/21/13,,SL 10-40,118,6,4,6,6.8,4.476,65
8/29/13,,SL 4-40,6,7,4,7,7.8,4.508,65
8/21/13,,SL 10-40,115,7,4,7,7.8,4.624,65
8/21/13,,SL 10-40,70,7,4,7,7.8,5.402,65
8/21/13,,SL 10-40,54,7,4,7,7.8,4.662,66
8/26/13,,SL 16-150,102,8,4,8,8.8,4.724,66
8/21/13,,SL 10-40,62,8,4,8,8.8,4.828,66
8/26/13,,SL 16-150,117,8,4,8,8.8,5.4,66
8/25/13,,He 265,11,5,4,5,5.8,2.122,67
8/25/13,,He 265,8,8,4,8,8.8,4.008,67
8/25/13,,He 265,19,7,4,7,7.8,4.035,67
6/17/13,,BSI,12,5,6,5,5.5,5,67
8/21/13,,SL 10-40,60,8,4,8,8.8,5.333,67
8/26/13,,SL 16-150,118,8,4,8,8.8,5.968,67
8/25/13,,He 265,7,7,4,7,7.8,4.296,68
8/26/13,,SL 16-150,103,8,4,8,8.8,4.344,68
8/26/13,,SL 16-150,105,9,4,9,9.8,5.2,68
8/25/13,,He 265,2,8,6,8,8.8,5.414,68
8/25/13,,He 265,18,9,4,9,9.8,4.664,69
8/25/13,,He 265,3,8,4,8,8.8,5.2,69
8/21/13,,SL 10-40,57,8,4,8,8.8,5.528,69
8/26/13,,SL 16-150,106,9,4,9,9.8,5.548,69
8/29/13,,SL 4-40,7,7,4,7,7.8,5.274,70
8/21/13,,SL 10-40,61,9,2,9,9.8,6.2,70
8/25/13,,He 265,10,7,6,7,7.8,4.73,71
8/25/13,,He 265,1,15,6,15,15.8,6,71
6/17/13,,BSI,8,7,6,7,7.5,6.2,71
8/25/13,,He 265,17,9,4,9,9.8,5.123,72
6/17/13,,BSI,5,8,4,8,8.5,5.5,72
6/17/13,,BSI,2,7,4,7,7.5,5.2,73
6/17/13,,BSI,9,7,6,7,7.5,6,73
6/17/13,,BSI,3,6,4,6,6.5,6.1,73
6/17/13,,BSI,13,10,4,10,10.5,7,73
6/17/13,,BSI,6,7,2,7,7.5,6,74
6/17/13,,BSI,15,6,4,6,6.5,7,79
6/17/13,,BSI,7,8,4,8,8.5,8.1,79
8/25/13,,He 265,12,8,4,8,8.8,6.8,80
8/25/13,,He 265,13,7,6,7,7.8,7.2,81
8/21/13,,SL 10-40,136,14,4,14,14.8,9.2,86
